entity_id,state,last_changed
sensor.washing_machine_power,55.727,2025-09-17T17:07:56.332Z
sensor.washing_machine_power,59.322,2025-09-17T17:08:01.376Z
sensor.washing_machine_power,50.617,2025-09-17T17:08:06.454Z
sensor.washing_machine_power,42.128,2025-09-17T17:08:16.539Z
sensor.washing_machine_power,6.233,2025-09-17T17:08:21.611Z
sensor.washing_machine_power,48.911,2025-09-17T17:08:26.664Z
sensor.washing_machine_power,51.786,2025-09-17T17:08:31.725Z
sensor.washing_machine_power,44.204,2025-09-17T17:08:36.760Z
sensor.washing_machine_power,60.222,2025-09-17T17:08:41.850Z
sensor.washing_machine_power,55.104,2025-09-17T17:08:46.863Z
sensor.washing_machine_power,4.831,2025-09-17T17:08:51.982Z
sensor.washing_machine_power,48.482,2025-09-17T17:08:56.976Z
sensor.washing_machine_power,54.608,2025-09-17T17:09:01.994Z
sensor.washing_machine_power,51.136,2025-09-17T17:09:07.126Z
sensor.washing_machine_power,40.505,2025-09-17T17:09:12.134Z
sensor.washing_machine_power,43.027,2025-09-17T17:09:17.312Z
sensor.washing_machine_power,4.733,2025-09-17T17:09:22.228Z
sensor.washing_machine_power,47.398,2025-09-17T17:09:27.282Z
sensor.washing_machine_power,53.106,2025-09-17T17:09:32.339Z
sensor.washing_machine_power,57.119,2025-09-17T17:09:37.387Z
sensor.washing_machine_power,62.226,2025-09-17T17:09:42.469Z
sensor.washing_machine_power,48.105,2025-09-17T17:09:47.489Z
sensor.washing_machine_power,4.824,2025-09-17T17:09:52.561Z
sensor.washing_machine_power,41.319,2025-09-17T17:09:57.608Z
sensor.washing_machine_power,68.675,2025-09-17T17:10:02.624Z
sensor.washing_machine_power,43.871,2025-09-17T17:10:07.697Z
sensor.washing_machine_power,50.154,2025-09-17T17:10:18.034Z
sensor.washing_machine_power,47.108,2025-09-17T17:10:23.180Z
sensor.washing_machine_power,42.136,2025-09-17T17:10:27.959Z
sensor.washing_machine_power,64.56,2025-09-17T17:10:32.954Z
sensor.washing_machine_power,60.883,2025-09-17T17:10:38.004Z
sensor.washing_machine_power,53.838,2025-09-17T17:10:48.108Z
sensor.washing_machine_power,45.033,2025-09-17T17:10:53.184Z
sensor.washing_machine_power,34.844,2025-09-17T17:10:58.203Z
sensor.washing_machine_power,51.273,2025-09-17T17:11:03.278Z
sensor.washing_machine_power,47.378,2025-09-17T17:11:13.440Z
sensor.washing_machine_power,60.505,2025-09-17T17:11:18.431Z
sensor.washing_machine_power,55.043,2025-09-17T17:11:23.479Z
sensor.washing_machine_power,4.851,2025-09-17T17:11:28.541Z
sensor.washing_machine_power,55.444,2025-09-17T17:11:33.572Z
sensor.washing_machine_power,51.862,2025-09-17T17:11:38.627Z
sensor.washing_machine_power,59.958,2025-09-17T17:11:43.825Z
sensor.washing_machine_power,53.848,2025-09-17T17:11:48.734Z
sensor.washing_machine_power,48.331,2025-09-17T17:11:53.803Z
sensor.washing_machine_power,4.629,2025-09-17T17:11:58.826Z
sensor.washing_machine_power,43.923,2025-09-17T17:12:03.908Z
sensor.washing_machine_power,52.308,2025-09-17T17:12:08.943Z
